國文,英文,數學,地理,歷史
93,87,99,93,99
91,90,72,95,63
90,82,85,62,77
66,61,57,78,56
71,52,84,93,50
54,78,85,62,81
51,71,79,97,100
100,58,68,68,77
81,71,84,73,88
84,91,55,78,73
90,54,65,56,55
66,63,62,57,63
62,67,57,84,87
51,100,76,83,64
82,91,96,82,86
74,75,99,86,77
64,82,59,83,92
53,77,100,60,68
83,65,56,88,63
60,85,100,82,56
81,99,83,62,55
52,77,69,59,57
61,75,50,61,84
94,74,81,93,99
100,90,54,53,97
74,57,99,57,93
78,95,100,68,53
57,85,90,88,56
92,86,97,100,66
98,76,98,93,82
68,72,79,65,53
82,94,61,100,79
73,92,97,81,94
51,65,89,79,98
84,94,63,74,100
85,81,93,64,89
85,95,97,89,81
53,94,81,89,81
71,96,55,63,78
90,64,69,82,53
50,57,100,91,94
94,59,53,96,54
68,69,99,64,70
52,95,96,70,84
75,58,50,64,92
52,80,56,66,56
99,99,66,66,65
83,54,74,89,86
60,77,97,51,84
63,50,95,51,55
